strategy_auto
corr_tc_mult,none,ewm_sortino,40
client_c1,payoutC1TC3,ewm_sharpe,20
aggE_c1,tcPercentile,ewm_mean,80
aggE_c2,payoutC1TC3,ewm_sharpe,80
aggE_c3,payoutC1TC3,ewm_sharpe,40
aggE_c4,tcPercentile,ewm_mean,40
aggE_c5,tcPercentile_minus,ewm_mean,40
aggE_c6,tcPercentile,mean,20
agg_c1,tcPercentile,ewm_mean,80
agg_c2,payoutC1TC3,ewm_sharpe,80
agg_c3,tcPercentile,ewm_mean,40
agg_c4,tcPercentile_minus,ewm_mean,40
mod_c1,tcPercentile,ewm_mean,80
mod_c2,tc,ewm_sharpe,80
mod_c3,tc,ewm_sharpe,40
mod_c4,tcPercentile,ewm_mean,40
mod_c5,tcPercentile_minus,ewm_mean,40
mod_c6,tcPercentile,mean,20
cons_c1,tcPercentile,ewm_mean,80
cons_c2,tc,ewm_sharpe,80
model_c1,tcPercentile,ewm_mean,80
model_c2,tcPercentile,ewm_mean,80
model_c3,tcPercentile,ewm_mean,80
l0_vanilla,tc,ewm_sharpe,80
zurich_c1,payoutC1TC3,ewm_sortino,60
zurich_c2,tcPercentile,mean,20
zurich_c3,tc_minus,ewm_mean,40
gold_c1,tcPercentile,ewm_mean,80
gold_c2,payoutC1TC3,ewm_sortino,40
silver_c1,tcPercentile,ewm_mean,80
silver_c2,payoutC1TC3,ewm_sortino,40
bronze_c1,tcPercentile,ewm_mean,80
bronze_c2,payoutC1TC3,ewm_sortino,40
feat_c1,tcPercentile,ewm_mean,80
feat_c2,tc,ewm_sortino,40
short_c1,tc_minus,ewm_mean,40
short_c2,tc_minus,mean,20
featSF_c1,tc,slope,40
swap_c1,tc_minus,mean,20
